 48
** Atomic data from version 5.2 of the CHIANTI database **
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%theoretical energies: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
% produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
% P.R.Young - 15-Feb-2004
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%A-values: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
%comment:
     The following A-values were incorrect in the Berrington et al. (2000)
     paper and have been corrected (K.A. Berrington, 2004, private communication)

i-i'   A(correct)    (in paper)
  0  0   2.14e-01
  6  9   4.57e-02
  0  0   4.58e-02
  0  0   4.61e-02
  0  0   4.65e-02
  0  0   4.71e-02
  0  0   4.80e-02
  0  0   4.95e-02
  0  0   5.19e-02
  0  0   5.55e-02
  0  0   6.11e-02
  0  0   6.94e-02
  0  0   8.11e-02
  0  0   9.62e-02
  0  0   1.12e-01
  0  0   1.22e-01
  0  0   1.23e-01
  0  0   1.18e-01
  0  0   1.09e-01
  0  0   9.60e-02
  0  0   7.93e-02
  0  0   6.43e-02
  0  0   5.27e-02
  0  0   4.46e-02
  7  8   7.58e-01
  0  0   7.58e-01
  0  0   7.59e-01
  0  0   7.59e-01
  0  0   7.61e-01
  0  0   7.63e-01
  0  0   7.66e-01
  0  0   7.72e-01
  0  0   7.80e-01
  0  0   7.92e-01
  0  0   8.12e-01
  0  0   8.40e-01
  0  0   8.79e-01
  0  0   9.26e-01
  0  0   9.70e-01
  0  0   9.90e-01
  0  0   9.73e-01
  0  0   9.19e-01
  0  0   8.22e-01
  0  0   6.91e-01
  0  0   5.58e-01
  0  0   4.51e-01
  0  0   3.72e-01
  7  9   1.17e-01
  0  0   1.17e-01
  0  0   1.17e-01
  0  0   1.18e-01
  0  0   1.18e-01
  0  0   1.20e-01
  0  0   1.22e-01
  0  0   1.25e-01
  0  0   1.30e-01
  0  0   1.37e-01
  0  0   1.48e-01
  0  0   1.64e-01
  0  0   1.84e-01
  0  0   2.07e-01
  0  0   2.23e-01
  0  0   2.25e-01
  0  0   2.17e-01
  0  0   2.03e-01
  0  0   1.80e-01
  0  0   1.50e-01
  0  0   1.22e-01
  0  0   1.00e-01
  0  0   8.49e-02
  8  9   1.02e-01
  0  0   1.02e-01
  0  0   1.03e-01
  0  0   1.05e-01
  0  0   1.07e-01
  0  0   1.11e-01
  0  0   1.16e-01
  0  0   1.25e-01
  0  0   1.39e-01
  0  0   1.59e-01
  0  0   1.89e-01
  0  0   2.31e-01
  0  0   2.82e-01
  0  0   3.29e-01
